produk_gambar,produk_nama,produk_nama_url,produk_spesifikasi,produk_spesifikasi_url,produk_harga,produk_harga_url
https://p.ipricegroup.com/uploaded_cbab94b165783fbf63bc824ed8a3fc43.jpg?position=1,ASUS TUF Gaming FX505DY,https://iprice.co.id/r/pc/?_id=b25e07578020b87a43acbbc1e53d05e5c7295a18&position=1&sub_product=discovery-brand-category&_exit=%2Fasus%2Fkomputer%2F,"Ukuran Layar: 15.6"" Teknologi Layar: LED Sistem Operasi: Windows 10 Pro",https://iprice.co.id/r/pc/?_id=b25e07578020b87a43acbbc1e53d05e5c7295a18&position=1&sub_product=discovery-brand-category&_exit=%2Fasus%2Fkomputer%2F,Rp 8.819.000,https://iprice.co.id/r/pc/?_id=b25e07578020b87a43acbbc1e53d05e5c7295a18&position=1&sub_product=discovery-brand-category&_exit=%2Fasus%2Fkomputer%2F
https://p.ipricegroup.com/uploaded_ddbe098eae83b4c86f57cdc098d9ae70.jpg?position=2,ASUS VivoBook 14 A412FA,https://iprice.co.id/r/pc/?_id=e70c47090fd232ba7f882c6bb4efab47b806c4dd&position=2&sub_product=discovery-brand-category&_exit=%2Fasus%2Fkomputer%2F,"Ukuran Layar: 14"" Teknologi Layar: LED Sistem Operasi: Windows 10 Home",https://iprice.co.id/r/pc/?_id=e70c47090fd232ba7f882c6bb4efab47b806c4dd&position=2&sub_product=discovery-brand-category&_exit=%2Fasus%2Fkomputer%2F,Rp 5.099.000,https://iprice.co.id/r/pc/?_id=e70c47090fd232ba7f882c6bb4efab47b806c4dd&position=2&sub_product=discovery-brand-category&_exit=%2Fasus%2Fkomputer%2F
https://p.ipricegroup.com/uploaded_48719a7da8cd69d2eddc083393cd77ac.jpg?position=3,Asus ZenBook Duo UX481,https://iprice.co.id/r/pc/?_id=7b9f6a3c9f1be854e2490787b5bec4a51ebf29f8&position=3&sub_product=discovery-brand-category&_exit=%2Fasus%2Fkomputer%2F,"Ukuran Layar: 14"" Teknologi Layar: LED Daya Tahan Baterai: 11h",https://iprice.co.id/r/pc/?_id=7b9f6a3c9f1be854e2490787b5bec4a51ebf29f8&position=3&sub_product=discovery-brand-category&_exit=%2Fasus%2Fkomputer%2F,Rp 17.000.000,https://iprice.co.id/r/pc/?_id=7b9f6a3c9f1be854e2490787b5bec4a51ebf29f8&position=3&sub_product=discovery-brand-category&_exit=%2Fasus%2Fkomputer%2F
https://p.ipricegroup.com/uploaded_2d8f9ab9f4b0a5ff0f01b4ecf02e3e5f.jpg?position=4,ASUS X450C,https://iprice.co.id/r/pc/?_id=262fa1cd8835846af8f0c911411fff196b753b3b&position=4&sub_product=discovery-brand-category&_exit=%2Fasus%2Fkomputer%2F,"Ukuran Layar: 14"" Teknologi Layar: LED Daya Tahan Baterai: 37h",https://iprice.co.id/r/pc/?_id=262fa1cd8835846af8f0c911411fff196b753b3b&position=4&sub_product=discovery-brand-category&_exit=%2Fasus%2Fkomputer%2F,Rp 6.500.000,https://iprice.co.id/r/pc/?_id=262fa1cd8835846af8f0c911411fff196b753b3b&position=4&sub_product=discovery-brand-category&_exit=%2Fasus%2Fkomputer%2F
https://p.ipricegroup.com/uploaded_696838c5debd9d2e43ab4713a7e149e2.jpg?position=5,ASUS VivoBook Ultra A412FL,https://iprice.co.id/r/pc/?_id=400218851efe91af6cbfac626ab069014e758b75&position=5&sub_product=discovery-brand-category&_exit=%2Fasus%2Fkomputer%2F,"Ukuran Layar: 14"" Teknologi Layar: LED Daya Tahan Baterai: 37h",https://iprice.co.id/r/pc/?_id=400218851efe91af6cbfac626ab069014e758b75&position=5&sub_product=discovery-brand-category&_exit=%2Fasus%2Fkomputer%2F,Rp 8.199.000,https://iprice.co.id/r/pc/?_id=400218851efe91af6cbfac626ab069014e758b75&position=5&sub_product=discovery-brand-category&_exit=%2Fasus%2Fkomputer%2F
https://p.ipricegroup.com/uploaded_8f3068f6adf0c60b64eb95d9c914b065.jpg?position=6,ASUS VivoBook K403,https://iprice.co.id/r/pc/?_id=a284dc603314181ae938e93e863e647cc05a6155&position=6&sub_product=discovery-brand-category&_exit=%2Fasus%2Fkomputer%2F,"Ukuran Layar: 14"" Teknologi Layar: LED Sistem Operasi: Windows 10",https://iprice.co.id/r/pc/?_id=a284dc603314181ae938e93e863e647cc05a6155&position=6&sub_product=discovery-brand-category&_exit=%2Fasus%2Fkomputer%2F,Rp 7.301.000,https://iprice.co.id/r/pc/?_id=a284dc603314181ae938e93e863e647cc05a6155&position=6&sub_product=discovery-brand-category&_exit=%2Fasus%2Fkomputer%2F
https://p.ipricegroup.com/uploaded_1c8adbeef76e068083934c942a367ed1.jpg?position=7,ASUS X201E,https://iprice.co.id/r/pc/?_id=5767bfbcfc57e248317c72fc68f3741a91f5a00c&position=7&sub_product=discovery-brand-category&_exit=%2Fasus%2Fkomputer%2F,"Ukuran Layar: 11"" Teknologi Layar: LED Daya Tahan Baterai: 38h",https://iprice.co.id/r/pc/?_id=5767bfbcfc57e248317c72fc68f3741a91f5a00c&position=7&sub_product=discovery-brand-category&_exit=%2Fasus%2Fkomputer%2F,Rp 3.350.000,https://iprice.co.id/r/pc/?_id=5767bfbcfc57e248317c72fc68f3741a91f5a00c&position=7&sub_product=discovery-brand-category&_exit=%2Fasus%2Fkomputer%2F
https://p.ipricegroup.com/uploaded_3a24f773f56cf1a341a0c1389645d209.jpg?position=8,ASUS VivoBook Flip 14 TP412UA,https://iprice.co.id/r/pc/?_id=bdc038fa796241cbf734e37cfa84ad6bfd136505&position=8&sub_product=discovery-brand-category&_exit=%2Fasus%2Fkomputer%2F,"Ukuran Layar: 14"" Teknologi Layar: IPS Sistem Operasi: Windows 10",https://iprice.co.id/r/pc/?_id=bdc038fa796241cbf734e37cfa84ad6bfd136505&position=8&sub_product=discovery-brand-category&_exit=%2Fasus%2Fkomputer%2F,Rp 6.825.000,https://iprice.co.id/r/pc/?_id=bdc038fa796241cbf734e37cfa84ad6bfd136505&position=8&sub_product=discovery-brand-category&_exit=%2Fasus%2Fkomputer%2F
https://p.ipricegroup.com/uploaded_85591f3393a86bab82980e90e7ad0ac7.jpg?position=9,ASUS VivoBook Flip 12 TP203NAH,https://iprice.co.id/r/pc/?_id=8f806fb6fcb8777428e028fe9deb9d035cfa2292&position=9&sub_product=discovery-brand-category&_exit=%2Fasus%2Fkomputer%2F,"Ukuran Layar: 11.6"" Teknologi Layar: LED Sistem Operasi: Windows 10",https://iprice.co.id/r/pc/?_id=8f806fb6fcb8777428e028fe9deb9d035cfa2292&position=9&sub_product=discovery-brand-category&_exit=%2Fasus%2Fkomputer%2F,Rp 5.085.000,https://iprice.co.id/r/pc/?_id=8f806fb6fcb8777428e028fe9deb9d035cfa2292&position=9&sub_product=discovery-brand-category&_exit=%2Fasus%2Fkomputer%2F
https://p.ipricegroup.com/uploaded_c0bdc3e9ee4068587bbf39a22d0cf726.jpg?position=10,Asus VivoBook X441MA,https://iprice.co.id/r/pc/?_id=a6714e3e11e0265f7da0a335f0e93de654d0017d&position=10&sub_product=discovery-brand-category&_exit=%2Fasus%2Fkomputer%2F,"Ukuran Layar: 14"" Teknologi Layar: LED Daya Tahan Baterai: 8h",https://iprice.co.id/r/pc/?_id=a6714e3e11e0265f7da0a335f0e93de654d0017d&position=10&sub_product=discovery-brand-category&_exit=%2Fasus%2Fkomputer%2F,Rp 3.675.000,https://iprice.co.id/r/pc/?_id=a6714e3e11e0265f7da0a335f0e93de654d0017d&position=10&sub_product=discovery-brand-category&_exit=%2Fasus%2Fkomputer%2F
